id,name,file,kind,in_deg,out_deg
549,edgeColoringType,edge_coloring,Definition,143,0
486,Fan,fans,Inductive,58,2
547,properEdgeColoringType,edge_coloring,Definition,57,2
546,proper_to_edge_coloring,edge_coloring,Definition,55,3
496,fanp,fans,Definition,49,4
544,coloring_image,edge_coloring,Definition,45,1
620,altpath,alternate_path,Definition,43,2
522,absent_set,edge_coloring,Definition,43,3
560,edge_neigh,aux,Definition,32,0
482,fans_Fan__canonical__eqtype_SubType,fans,Definition,32,4
425,kempe_graph,kempe,Definition,22,4
548,is_proper_edge_coloring,edge_coloring,Definition,18,2
537,kEdgeColoringType,edge_coloring,Definition,16,3
497,absent_prop,fans,Definition,16,2
489,valid_fan_vertex,fans,Definition,16,3
602,apmax,alternate_path,Definition,14,5
609,valid_altpath_vertex,alternate_path,Definition,14,4
501,neigh_prop,fans,Definition,14,0
608,valid_altpath_edge,alternate_path,Theorem/Lemma,13,5
441,fanmax,fans,Definition,13,5
500,w0_prop,fans,Definition,13,2
574,restrict2_mem,aux,Definition,12,0
457,fancons,fans,Definition,12,7
588,invert,alternate_path,Definition,11,3
395,Path_edge,spath,Definition,11,1
607,altpath_rcons,alternate_path,Theorem/Lemma,10,6
536,k_to_proper_coloring,edge_coloring,Definition,10,4
455,rotateF,fans,Definition,10,5
424,mem_kempe,kempe,Theorem/Lemma,10,2
626,alternates,alternate_path,Definition,9,1
552,max_degree,aux,Definition,9,0
518,extendedColType,edge_coloring,Definition,9,1
533,k_edge_colorable,edge_coloring,Definition,9,1
484,fval,fans,Definition,9,2
606,is_apmax,alternate_path,Definition,8,5
513,recolor_edge,edge_coloring,Definition,8,1
415,invertedChain,kempe,Definition,8,2
420,kempe_chain,kempe,Definition,8,2
506,swap_edge,edge_coloring,Definition,7,1
532,is_chromatic_index,edge_coloring,Definition,6,1
481,HB_unnamed_factory_3,fans,Definition,6,4
477,HB_unnamed_mixin_7,fans,Definition,6,3
515,k_extended_col,edge_coloring,Definition,5,10
485,Build_Fan,fans,Constructor,5,2
619,altpathE,alternate_path,Theorem/Lemma,4,3
597,apmax_graph,alternate_path,Inductive,4,8
554,card_edge_neigh,aux,Theorem/Lemma,4,1
559,sub_all_edges,aux,Theorem/Lemma,4,1
534,card_k_col,edge_coloring,Theorem/Lemma,4,5
483,HB_unnamed_factory_1,fans,Definition,4,5
474,HB_unnamed_mixin_8,fans,Definition,4,3
437,fanmax_graph,fans,Inductive,4,7
445,is_fanmax,fans,Definition,4,5
404,chain_endpt,kempe,Definition,4,3
613,altpath_endpt,alternate_path,Definition,3,3
618,altpath_next_col,alternate_path,Definition,3,3
605,apmax_obligations_obligation_1,alternate_path,Theorem/Lemma,3,6
583,mem_inverted,alternate_path,Definition,3,5
625,next_col,alternate_path,Definition,3,1
584,not_mem_inverted,alternate_path,Definition,3,5
557,mem_edge_graph,aux,Theorem/Lemma,3,1
520,absent_edge,edge_coloring,Theorem/Lemma,3,4
542,in_c_all_edgeP,edge_coloring,Definition,3,5
460,fan_neigh,fans,Theorem/Lemma,3,6
444,fanmax_obligations_obligation_1,fans,Theorem/Lemma,3,8
453,imset_rot,fans,Theorem/Lemma,3,12
468,rotate,fans,Definition,3,2
428,kempe_rel,kempe,Definition,3,1
603,apmax_functional,alternate_path,Definition,2,8
